Agency,Fund,FY15 Mayors Proposed Budget
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,300
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,2000
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,5000
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,5400
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,23893.72
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,46102.28
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,163628
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,677688.01
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,4500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,5000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,9500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,10067
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,10689.61
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,11649.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,12500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,15000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,15000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,20000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,25000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,26050
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,30000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,30000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,31668.26
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,34837.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,35000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,35000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,36098
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,39000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,44440.18
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,51640.61
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,56276.11
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,60000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,67500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,71000.01
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,83308.44
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,91106.53
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,112741.7
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,125973.43
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,126218.26
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,131378.4
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,145848.28
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,150000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,155000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,158472.48
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,228228.43
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,243394
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,275000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,316417.46
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,350435.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,482349.02
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,619719.28
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,625889.84
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,1067033.58
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,1170000
BASEBALL,ENTERPRISE GENERAL FUND,5572000
BASEBALL,ENTERPRISE GENERAL FUND,5572000.01
BASEBALL,ENTERPRISE GENERAL FUND,27828000
BASEBALL,ENTERPRISE GENERAL FUND,29828000.01
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,484.92
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1212.31
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1622.59
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2107.51
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2238.01
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2266
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2424.62
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,3207.86
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5501.72
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5665
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,6000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,7582.2
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,8459.3
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,9848.2
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10457.99
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10863.05
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,11330
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,12000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,14989.99
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,15000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,15000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,16177.72
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,20000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,25708.98
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,38596.26
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,50761.94
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,75596.8
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,122059.44
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,180356.39
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,220000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,245000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,570371.2
BOARD OF ELECTIONS,GENERAL FUND,824.82
BOARD OF ELECTIONS,GENERAL FUND,2000
BOARD OF ELECTIONS,GENERAL FUND,2000
BOARD OF ELECTIONS,GENERAL FUND,3500
BOARD OF ELECTIONS,GENERAL FUND,4998.68
BOARD OF ELECTIONS,GENERAL FUND,7498.4
BOARD OF ELECTIONS,GENERAL FUND,7498.4
BOARD OF ELECTIONS,GENERAL FUND,7498.4
BOARD OF ELECTIONS,GENERAL FUND,10400
BOARD OF ELECTIONS,GENERAL FUND,11000
BOARD OF ELECTIONS,GENERAL FUND,19251.82
BOARD OF ELECTIONS,GENERAL FUND,20480
BOARD OF ELECTIONS,GENERAL FUND,21000
BOARD OF ELECTIONS,GENERAL FUND,21216.03
BOARD OF ELECTIONS,GENERAL FUND,22000
BOARD OF ELECTIONS,GENERAL FUND,25935.83
BOARD OF ELECTIONS,GENERAL FUND,37492
BOARD OF ELECTIONS,GENERAL FUND,39019.49
BOARD OF ELECTIONS,GENERAL FUND,46800
BOARD OF ELECTIONS,GENERAL FUND,50171.52
BOARD OF ELECTIONS,GENERAL FUND,51500
BOARD OF ELECTIONS,GENERAL FUND,53669.55
BOARD OF ELECTIONS,GENERAL FUND,74932.78
BOARD OF ELECTIONS,GENERAL FUND,76396.13
BOARD OF ELECTIONS,GENERAL FUND,77877.05
BOARD OF ELECTIONS,GENERAL FUND,81512.36
BOARD OF ELECTIONS,GENERAL FUND,83613.63
BOARD OF ELECTIONS,GENERAL FUND,90709.01
BOARD OF ELECTIONS,GENERAL FUND,92987.25
BOARD OF ELECTIONS,GENERAL FUND,96306.65
BOARD OF ELECTIONS,GENERAL FUND,100000
BOARD OF ELECTIONS,GENERAL FUND,118904.11
BOARD OF ELECTIONS,GENERAL FUND,118943.89
BOARD OF ELECTIONS,GENERAL FUND,133000
BOARD OF ELECTIONS,GENERAL FUND,179454.69
BOARD OF ELECTIONS,GENERAL FUND,212974.42
BOARD OF ELECTIONS,GENERAL FUND,245000
BOARD OF ELECTIONS,GENERAL FUND,245473.91
BOARD OF ELECTIONS,GENERAL FUND,257899.2
BOARD OF ELECTIONS,GENERAL FUND,262235.94
BOARD OF ELECTIONS,GENERAL FUND,275000
BOARD OF ELECTIONS,GENERAL FUND,276266.9
BOARD OF ELECTIONS,GENERAL FUND,297352.31
BOARD OF ELECTIONS,GENERAL FUND,322237.98
BOARD OF ELECTIONS,GENERAL FUND,371769.22
BOARD OF ELECTIONS,GENERAL FUND,374843.02
BOARD OF ELECTIONS,GENERAL FUND,400000
BOARD OF ELECTIONS,GENERAL FUND,400000
BOARD OF ELECTIONS,GENERAL FUND,649558.61
BOARD OF ELECTIONS,GENERAL FUND,858917
BUSINESS IMPROVEMENT DISTRICTS TRANSFER,GENERAL FUND,25000000.01
CERTIFICATE OF PARTICIPATION,GENERAL FUND,1500000
CERTIFICATE OF PARTICIPATION,GENERAL FUND,8675075
CERTIFICATE OF PARTICIPATION,GENERAL FUND,12495000.01
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,122.63
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,183.69
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,250
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,260
CHILD AND FAMILY SERVICES,GENERAL FUND,500
CHILD AND FAMILY SERVICES,GENERAL FUND,500
CHILD AND FAMILY SERVICES,GENERAL FUND,500
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,600
CHILD AND FAMILY SERVICES,GENERAL FUND,650
CHILD AND FAMILY SERVICES,GENERAL FUND,700
CHILD AND FAMILY SERVICES,PRIVATE FUNDS,977.37
CHILD AND FAMILY SERVICES,GENERAL FUND,1000
CHILD AND FAMILY SERVICES,PRIVATE FUNDS,1000
CHILD AND FAMILY SERVICES,GENERAL FUND,1080
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1206.92
CHILD AND FAMILY SERVICES,GENERAL FUND,1309
CHILD AND FAMILY SERVICES,GENERAL FUND,1360
CHILD AND FAMILY SERVICES,GENERAL FUND,1500
CHILD AND FAMILY SERVICES,GENERAL FUND,1500
CHILD AND FAMILY SERVICES,GENERAL FUND,1500
CHILD AND FAMILY SERVICES,GENERAL FUND,1500
CHILD AND FAMILY SERVICES,GENERAL FUND,1605
CHILD AND FAMILY SERVICES,GENERAL FUND,1725
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1800
CHILD AND FAMILY SERVICES,GENERAL FUND,1922
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,1922
CHILD AND FAMILY SERVICES,GENERAL FUND,2000
CHILD AND FAMILY SERVICES,GENERAL FUND,2000
CHILD AND FAMILY SERVICES,GENERAL FUND,2000
CHILD AND FAMILY SERVICES,GENERAL FUND,2000
CHILD AND FAMILY SERVICES,GENERAL FUND,2000
CHILD AND FAMILY SERVICES,PRIVATE FUNDS,2000.01
CHILD AND FAMILY SERVICES,GENERAL FUND,2079
CHILD AND FAMILY SERVICES,GENERAL FUND,2085
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,2300
CHILD AND FAMILY SERVICES,GENERAL FUND,2500
CHILD AND FAMILY SERVICES,GENERAL FUND,2500
CHILD AND FAMILY SERVICES,GENERAL FUND,2500
CHILD AND FAMILY SERVICES,GENERAL FUND,2700
CHILD AND FAMILY SERVICES,GENERAL FUND,3000
CHILD AND FAMILY SERVICES,GENERAL FUND,3000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,3000
CHILD AND FAMILY SERVICES,GENERAL FUND,3016.31
CHILD AND FAMILY SERVICES,GENERAL FUND,3500
CHILD AND FAMILY SERVICES,GENERAL FUND,3500
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,3665
CHILD AND FAMILY SERVICES,GENERAL FUND,3861
CHILD AND FAMILY SERVICES,GENERAL FUND,4200
CHILD AND FAMILY SERVICES,GENERAL FUND,4500
CHILD AND FAMILY SERVICES,GENERAL FUND,4565
CHILD AND FAMILY SERVICES,GENERAL FUND,5000
CHILD AND FAMILY SERVICES,GENERAL FUND,5000
CHILD AND FAMILY SERVICES,GENERAL FUND,6000
CHILD AND FAMILY SERVICES,GENERAL FUND,6675
CHILD AND FAMILY SERVICES,GENERAL FUND,6750
CHILD AND FAMILY SERVICES,GENERAL FUND,7000
CHILD AND FAMILY SERVICES,GENERAL FUND,7000
CHILD AND FAMILY SERVICES,GENERAL FUND,7087.07
CHILD AND FAMILY SERVICES,GENERAL FUND,7200
CHILD AND FAMILY SERVICES,GENERAL FUND,7300
CHILD AND FAMILY SERVICES,GENERAL FUND,7500
CHILD AND FAMILY SERVICES,GENERAL FUND,7500
CHILD AND FAMILY SERVICES,GENERAL FUND,7500
CHILD AND FAMILY SERVICES,GENERAL FUND,8120
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,9624.98
CHILD AND FAMILY SERVICES,GENERAL FUND,9645
CHILD AND FAMILY SERVICES,GENERAL FUND,9749.63
CHILD AND FAMILY SERVICES,GENERAL FUND,10000
CHILD AND FAMILY SERVICES,GENERAL FUND,10000
CHILD AND FAMILY SERVICES,GENERAL FUND,10000
CHILD AND FAMILY SERVICES,GENERAL FUND,10000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,10955
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,11473.73
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,11976.19
CHILD AND FAMILY SERVICES,GENERAL FUND,12000
CHILD AND FAMILY SERVICES,PRIVATE FUNDS,12000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,12455.85
CHILD AND FAMILY SERVICES,GENERAL FUND,12500
CHILD AND FAMILY SERVICES,GENERAL FUND,13029
CHILD AND FAMILY SERVICES,GENERAL FUND,13250
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,13333.62
CHILD AND FAMILY SERVICES,GENERAL FUND,13500
CHILD AND FAMILY SERVICES,GENERAL FUND,13500
CHILD AND FAMILY SERVICES,GENERAL FUND,13500
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,13926.56
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,14000
CHILD AND FAMILY SERVICES,GENERAL FUND,15000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,15172.55
CHILD AND FAMILY SERVICES,GENERAL FUND,16000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,17192.62
CHILD AND FAMILY SERVICES,GENERAL FUND,18000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,18648.2
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,19500
CHILD AND FAMILY SERVICES,GENERAL FUND,20000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,20000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,20171.79
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,20243.94
CHILD AND FAMILY SERVICES,GENERAL FUND,20519
CHILD AND FAMILY SERVICES,GENERAL FUND,21000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,21905.15
CHILD AND FAMILY SERVICES,GENERAL FUND,25000
CHILD AND FAMILY SERVICES,PRIVATE FUNDS,25000
CHILD AND FAMILY SERVICES,GENERAL FUND,25114.2
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,25328.99
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,25500
CHILD AND FAMILY SERVICES,GENERAL FUND,26004
CHILD AND FAMILY SERVICES,GENERAL FUND,27160
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,27374.48
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,28000
CHILD AND FAMILY SERVICES,GENERAL FUND,30000
CHILD AND FAMILY SERVICES,GENERAL FUND,30000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,31163.56
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,31485.4
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,33120
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,35533.92
CHILD AND FAMILY SERVICES,GENERAL FUND,37850
CHILD AND FAMILY SERVICES,GENERAL FUND,38805
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,41496.83
CHILD AND FAMILY SERVICES,GENERAL FUND,42350
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,44000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,45299.08
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,45894.93
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,47904.74
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,48486.2
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,49823.4
CHILD AND FAMILY SERVICES,GENERAL FUND,50000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,53334.49
CHILD AND FAMILY SERVICES,GENERAL FUND,55097.18
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,55519.26
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,55706.27
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,56400
CHILD AND FAMILY SERVICES,GENERAL FUND,59999.99
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,60690.22
CHILD AND FAMILY SERVICES,GENERAL FUND,61193.66
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,69000
CHILD AND FAMILY SERVICES,GENERAL FUND,70186.24
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,70545.49
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,71698.24
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,72626.66
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,74592.8
CHILD AND FAMILY SERVICES,GENERAL FUND,75737.23
CHILD AND FAMILY SERVICES,GENERAL FUND,76454.8
CHILD AND FAMILY SERVICES,GENERAL FUND,79981.99
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,79997.48
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,80687.16
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,80975.76
CHILD AND FAMILY SERVICES,GENERAL FUND,81010.46
CHILD AND FAMILY SERVICES,GENERAL FUND,84260.44
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,86381
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,86685.69
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,87620.59
CHILD AND FAMILY SERVICES,GENERAL FUND,89296.49
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,90476.02
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,90508
CHILD AND FAMILY SERVICES,GENERAL FUND,92592.45
CHILD AND FAMILY SERVICES,GENERAL FUND,93558
CHILD AND FAMILY SERVICES,GENERAL FUND,95000
CHILD AND FAMILY SERVICES,GENERAL FUND,96324.2
CHILD AND FAMILY SERVICES,GENERAL FUND,100000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,100000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,101315.95
CHILD AND FAMILY SERVICES,GENERAL FUND,102879
CHILD AND FAMILY SERVICES,GENERAL FUND,103448
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,103687.5
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,108490.23
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,108800.15
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,109492
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,109497.95
CHILD AND FAMILY SERVICES,GENERAL FUND,114811.59
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,115275.06
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,116200
CHILD AND FAMILY SERVICES,GENERAL FUND,118310
CHILD AND FAMILY SERVICES,GENERAL FUND,124321
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,124321
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,125941.62
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,126181
CHILD AND FAMILY SERVICES,GENERAL FUND,126548.54
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,132682.5
CHILD AND FAMILY SERVICES,GENERAL FUND,144231.16
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,148951.89
CHILD AND FAMILY SERVICES,GENERAL FUND,149000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,150168.84
CHILD AND FAMILY SERVICES,GENERAL FUND,150456.61
CHILD AND FAMILY SERVICES,GENERAL FUND,165874.04
CHILD AND FAMILY SERVICES,GENERAL FUND,170076.84
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,176877.49
CHILD AND FAMILY SERVICES,GENERAL FUND,177212
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,181196.3
CHILD AND FAMILY SERVICES,GENERAL FUND,182770.45
CHILD AND FAMILY SERVICES,GENERAL FUND,196363.73
CHILD AND FAMILY SERVICES,GENERAL FUND,200000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,200000
CHILD AND FAMILY SERVICES,INTRA-DISTRICT FUNDS,200000.01
CHILD AND FAMILY SERVICES,GENERAL FUND,206893.61
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,207052
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,208320.66
CHILD AND FAMILY SERVICES,GENERAL FUND,220388.71
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,222077.05
CHILD AND FAMILY SERVICES,GENERAL FUND,225000
CHILD AND FAMILY SERVICES,GENERAL FUND,227156.15
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,232412.29
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,238506.53
CHILD AND FAMILY SERVICES,GENERAL FUND,244581.2
CHILD AND FAMILY SERVICES,GENERAL FUND,244774.63
CHILD AND FAMILY SERVICES,GENERAL FUND,250000
CHILD AND FAMILY SERVICES,GENERAL FUND,250000
CHILD AND FAMILY SERVICES,GENERAL FUND,250000
CHILD AND FAMILY SERVICES,GENERAL FUND,250000
CHILD AND FAMILY SERVICES,GENERAL FUND,250000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,254005.86
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,255000
CHILD AND FAMILY SERVICES,GENERAL FUND,265000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,267729.15
CHILD AND FAMILY SERVICES,GENERAL FUND,275000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,282181.93
CHILD AND FAMILY SERVICES,GENERAL FUND,284488.66
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,286792.99
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,287174.62
CHILD AND FAMILY SERVICES,GENERAL FUND,288008.35
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,290000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,290506.65
CHILD AND FAMILY SERVICES,GENERAL FUND,295894.21
CHILD AND FAMILY SERVICES,GENERAL FUND,298688.21
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,300000
CHILD AND FAMILY SERVICES,GENERAL FUND,305819.18
CHILD AND FAMILY SERVICES,GENERAL FUND,307395.13
CHILD AND FAMILY SERVICES,GENERAL FUND,313804.8
CHILD AND FAMILY SERVICES,GENERAL FUND,316428.52
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,319989.92
CHILD AND FAMILY SERVICES,GENERAL FUND,321964.85
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,324541
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,346742.77
CHILD AND FAMILY SERVICES,GENERAL FUND,357185.94
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,361904.06
CHILD AND FAMILY SERVICES,GENERAL FUND,361965.46
CHILD AND FAMILY SERVICES,INTRA-DISTRICT FUNDS,365000
CHILD AND FAMILY SERVICES,GENERAL FUND,376753.58
CHILD AND FAMILY SERVICES,GENERAL FUND,380642.13
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,400000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,404185.7
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,418567.27
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,435200.61
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,459778.04
CHILD AND FAMILY SERVICES,GENERAL FUND,460000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,461100.21
CHILD AND FAMILY SERVICES,GENERAL FUND,479004.32
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,496500
CHILD AND FAMILY SERVICES,GENERAL FUND,500000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,500000
CHILD AND FAMILY SERVICES,GENERAL FUND,506194.14
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,514885.8
CHILD AND FAMILY SERVICES,GENERAL FUND,524932.16
CHILD AND FAMILY SERVICES,INTRA-DISTRICT FUNDS,527000
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,530729.92
CHILD AND FAMILY SERVICES,GENERAL FUND,549749.61
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,570160
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,585600
CHILD AND FAMILY SERVICES,GENERAL FUND,587207
CHILD AND FAMILY SERVICES,GENERAL FUND,587714.83
CHILD AND FAMILY SERVICES,GENERAL FUND,597270
CHILD AND FAMILY SERVICES,GENERAL FUND,663496.1
CHILD AND FAMILY SERVICES,GENERAL FUND,675000
CHILD AND FAMILY SERVICES,GENERAL FUND,703314.78
CHILD AND FAMILY SERVICES,FEDERAL RESOURCES,707509.87
CHILD AND FAMILY SERVICES,GENERAL FUND,727182.41
CHILD AND FAMILY SERVICES,GENERAL FUND,750837.16
